FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000.0,Sell,UBS SEC,42006.0,42010.0,3.3095
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1650000.0,Sell,CHINA CONSTRUCTION BANK,42006.0,42010.0,3.1227
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816.0,HUADIAN FUXIN ENERGY CORP LTD,5000000.0,Sell,CHINA CONSTRUCTION BANK,42006.0,42010.0,3.7554
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829.0,SHENGUAN HOLDINGS GROUP LTD,658000.0,Sell,CITIGROUP,42006.0,42010.0,2.4448
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,4000000.0,Sell,CHINA CONSTRUCTION BANK,42006.0,42010.0,2.5294
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,20000.0,Sell,CHINA CONSTRUCTION BANK,42006.0,42010.0,2.539
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,2000000.0,Sell,CHINA CONSTRUCTION BANK,42009.0,42011.0,3.2107
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,2927400.0,Sell,CHINA CONSTRUCTION BANK,42009.0,42011.0,3.1789
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829.0,SHENGUAN HOLDINGS GROUP LTD,707200.0,Sell,CHINA CONSTRUCTION BANK,42009.0,42011.0,2.3717
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,30000.0,Sell,CHINA CONSTRUCTION BANK,42009.0,42011.0,2.51
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6818.0,CHINA EVERBRIGHT BANK CO LTD,6195000.0,Buy,CHINA CONSTRUCTION BANK,42010.0,42012.0,4.3
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,10000000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,0.4596
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,384.0,CHINA GAS HOLDINGS LTD,730000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,12.0103
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,3000000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,3.2413
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1922000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,3.1687
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,300000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,7.8789
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816.0,HUADIAN FUXIN ENERGY CORP LTD,5000000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,3.8222
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829.0,SHENGUAN HOLDINGS GROUP LTD,460000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,2.3553
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,6000000.0,Sell,CHINA CONSTRUCTION BANK,42010.0,42012.0,2.5999
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,2000000.0,Sell,BANK OF AMERICA MERRILL,42011.0,42013.0,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,20000000.0,Sell,CHINA CONSTRUCTION BANK,42011.0,42013.0,0.4439
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,337.0,GREENLAND HONG KONG HOLDINGS LTD,136000.0,Sell,BANK OF AMERICA MERRILL,42011.0,42013.0,3.1054
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,384.0,CHINA GAS HOLDINGS LTD,470000.0,Sell,UBS SEC,42011.0,42013.0,12.0556
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000.0,Sell,CITIGROUP,42011.0,42013.0,3.2537
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1076000.0,Sell,UBS SEC,42011.0,42013.0,3.1526
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,76000.0,Sell,BANK OF AMERICA MERRILL,42011.0,42013.0,7.7279
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,3000000.0,Sell,BANK OF AMERICA MERRILL,42011.0,42013.0,2.6871
